"2023-06-13 18:36:01 [restartedMain] INFO  c.k.m.p.ProductServiceApplication - Starting ProductServiceApplication using Java 17.0.6 with PID 11424 (D:\khube\project\practice\product-service\target\classes started by khubeb in D:\khube\project\practice\product-service)
""2023-06-13 18:42:10 [RMI TCP Connection(9)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
""2023-06-13 18:42:10 [RMI TCP Connection(9)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
""2023-06-13 18:42:10 [RMI TCP Connection(9)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
""2023-06-13 18:46:01 [restartedMain] INFO  c.k.m.p.ProductServiceApplication - Starting ProductServiceApplication using Java 17.0.6 with PID 7504 (D:\khube\project\practice\product-service\target\classes started by khubeb in D:\khube\project\practice\product-service)
""2023-06-13 18:46:01 [restartedMain] INFO  c.k.m.p.ProductServiceApplication - No active profile set, falling back to 1 default profile: "default"
""2023-06-13 18:46:01 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2023-06-13 18:46:01 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2023-06-13 18:46:03 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2023-06-13 18:46:03 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 98 ms. Found 1 JPA repository interfaces.
""2023-06-13 18:46:03 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=1e776074-bfe4-33d8-b613-a0144765e640
""2023-06-13 18:46:04 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8087 (http)
""2023-06-13 18:46:04 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - An older version [1.2.36] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [2.0.1]
""2023-06-13 18:46:04 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.36] using APR version [1.7.2].
""2023-06-13 18:46:04 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1t  7 Feb 2023]
""2023-06-13 18:46:04 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2023-06-13 18:46:04 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
""2023-06-13 18:46:04 [restartedMain] INFO  o.a.c.c.C.[.[.[/product-service] - Initializing Spring embedded WebApplicationContext
""2023-06-13 18:46:04 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2589 ms
""2023-06-13 18:46:04 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2023-06-13 18:46:05 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@626bf48b
""2023-06-13 18:46:05 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2023-06-13 18:46:05 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:mysql://localhost:3306/productdb'
""2023-06-13 18:46:05 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
